model,approach,mode,approach_type,feature_approach,classifier,best_params,test_roc_auc,cv_roc_auc,overfitting_gap,feature_dim,convergence_ok,cv_stability,test_vs_cv_gap,fold_variance,problematic_folds_count,strategy
point_m2ae_encoder,feat_mean,PCA_32,mean,feat_mean,logistic,"{'C': 1.0, 'l1_ratio': 0.6}",0.558826961992227,0.5591090040369249,0.1832620777370383,32,False,0.038928718521678084,-0.0002820420446978389,0.001515445125740042,1,point_m2ae_features
point_m2ae_encoder,feat_mean,PCA_256,mean,feat_mean,logistic,"{'C': 1.0, 'l1_ratio': 0.1}",0.5985155149227089,0.6240009738273041,0.37410747553899437,256,False,0.01823008728140957,-0.025485458904595193,0.00033233608228781103,0,point_m2ae_features
point_m2ae_encoder,feat_mean,raw_features,mean,feat_mean,logistic,"{'C': 1.0, 'l1_ratio': 0.3}",0.6056811257208523,0.6259477897808615,0.36789466369295065,384,False,0.0191083220984806,-0.02026666406000921,0.00036512797341928195,0,point_m2ae_features
point_m2ae_encoder,feat_mean_max,PCA_32,mean_max,feat_mean_max,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.5340251646414828,0.5672375411238615,0.15239996729230976,32,False,0.05044544699389846,-0.033212376482378736,0.0025447431224142193,2,point_m2ae_features
point_m2ae_encoder,feat_mean_max,PCA_256,mean_max,feat_mean_max,logistic,"{'C': 0.01, 'l1_ratio': 0.0}",0.6192767471340598,0.5853361401592068,0.404888045658365,256,False,0.027373285331020052,0.033940606974853016,0.0007492967498134376,0,point_m2ae_features
point_m2ae_encoder,feat_mean_max,raw_features,mean_max,feat_mean_max,logistic,"{'C': 0.01, 'l1_ratio': 0.0}",0.6168438523947101,0.5898699135155547,0.4075704901774536,768,False,0.026865846020678326,0.026973938879155335,0.0007217736824067975,0,point_m2ae_features
