model,preprocessing,aggregation,mode,config,classifier,best_params,test_roc_auc,cv_roc_auc,overfitting_gap,feature_dim,convergence_ok,cv_stability,strategy
vista3d,v2_pad_crop,multiscale,raw,v2_pad_crop_multiscale_raw,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.6426656205651456,0.5846985742960236,0.242991885635934,1488,True,0.016142020333576562,vista3d
vista3d,v2_pad_crop,multiscale,PCA_32,v2_pad_crop_multiscale_PCA_32,logistic,"{'C': 0.1, 'l1_ratio': 0.9}",0.6226965458321739,0.5980348985475598,0.1201849760766881,32,True,0.02404622884425772,vista3d
vista3d,v2_pad_crop,multiscale,PCA_256,v2_pad_crop_multiscale_PCA_256,logistic,"{'C': 0.1, 'l1_ratio': 1.0}",0.6422970909261849,0.6186140044126623,0.15289249827700302,256,True,0.03227529730472441,vista3d
vista3d,v2_pad_crop,multiscale,PCA_950,v2_pad_crop_multiscale_PCA_950,logistic,"{'C': 0.1, 'l1_ratio': 0.9}",0.6347558257388937,0.6185167461502828,0.1658926693429651,214,True,0.034703364223607605,vista3d
vista3d,v2_pad_crop,multiscale,PCA_995,v2_pad_crop_multiscale_PCA_995,logistic,"{'C': 0.1, 'l1_ratio': 1.0}",0.6421791623151892,0.6186934236336533,0.15254953157491247,374,True,0.03232726582614848,vista3d
vista3d,v3_upscale3_padcrop,gap768,raw,v3_upscale3_padcrop_gap768_raw,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.6076623482223739,0.5809098714565277,0.2370225787682173,768,True,0.02375911818320921,vista3d
vista3d,v3_upscale3_padcrop,gap768,PCA_32,v3_upscale3_padcrop_gap768_PCA_32,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.5622690183384598,0.5745295580585468,0.11398793068518742,32,True,0.028541908528092092,vista3d
vista3d,v3_upscale3_padcrop,gap768,PCA_256,v3_upscale3_padcrop_gap768_PCA_256,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.6083794387451736,0.5782048740218839,0.23085428199144375,256,True,0.02457505768755529,vista3d
vista3d,v3_upscale3_padcrop,gap768,PCA_950,v3_upscale3_padcrop_gap768_PCA_950,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.6078760252176056,0.5784094439679255,0.22147119114526792,207,True,0.025503677612652296,vista3d
vista3d,v3_upscale3_padcrop,gap768,PCA_995,v3_upscale3_padcrop_gap768_PCA_995,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.6106872741678514,0.5784394629035579,0.2382200622558508,370,True,0.02373024908240471,vista3d
vista3d,v3_upscale3_padcrop,flatten,PCA_32,v3_upscale3_padcrop_flatten_PCA_32,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.6831871479114814,0.6243516032780494,0.1436086193375593,32,True,0.01599239568426567,vista3d
vista3d,v3_upscale3_padcrop,flatten,PCA_256,v3_upscale3_padcrop_flatten_PCA_256,logistic,"{'C': 1.0, 'l1_ratio': 0.7}",0.686531871713364,0.6214099999098016,0.3785900000901984,256,True,0.03671172976376112,vista3d
vista3d,v3_upscale3_padcrop,flatten,PCA_950,v3_upscale3_padcrop_flatten_PCA_950,logistic,"{'C': 1.0, 'l1_ratio': 0.6}",0.7059048496262812,0.6374123564648565,0.3625876435351435,371,True,0.0292297853058435,vista3d
vista3d,v3_upscale3_padcrop,flatten,PCA_995,v3_upscale3_padcrop_flatten_PCA_995,logistic,"{'C': 0.1, 'l1_ratio': 0.1}",0.7064307848286535,0.648545063916848,0.35145493608315204,450,True,0.023334833707902142,vista3d
vista3d,v3_upscale3_padcrop,multiscale,raw,v3_upscale3_padcrop_multiscale_raw,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.6088573230759164,0.5807544174980541,0.23811462892042146,1488,True,0.023639173727749443,vista3d
vista3d,v3_upscale3_padcrop,multiscale,PCA_32,v3_upscale3_padcrop_multiscale_PCA_32,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.5619567779977868,0.5748761876898254,0.11400031304556268,32,True,0.02772587362289776,vista3d
vista3d,v3_upscale3_padcrop,multiscale,PCA_256,v3_upscale3_padcrop_multiscale_PCA_256,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.6107109690740182,0.5791609720959625,0.23039994627686,256,True,0.023992623871358802,vista3d
vista3d,v3_upscale3_padcrop,multiscale,PCA_950,v3_upscale3_padcrop_multiscale_PCA_950,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.6104529316252673,0.5786853882974927,0.2231825018036212,208,True,0.02574020310779278,vista3d
vista3d,v3_upscale3_padcrop,multiscale,PCA_995,v3_upscale3_padcrop_multiscale_PCA_995,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.611700376323389,0.5784230312893825,0.23918091132057673,372,True,0.02359662986466074,vista3d
