mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1.3886040687561034,0.01402969924341236,0.004109764099121093,0.00021204962900893236,0.001,0.0,"{'C': 0.001, 'l1_ratio': 0.0}",0.5773087104752217,0.5396625081103483,0.5449723569635194,0.6327948584924721,0.5646299132966619,0.5718736694676447,0.0333305939846497,1,0.961036442793873,0.9692699677386333,0.9694184704655497,0.9710077211929742,0.965234751856429,0.9671934708094918,0.0036209540973696232
17.211697626113892,18.018824933570162,0.004225444793701172,0.00032436664644570955,0.001,0.1,"{'C': 0.001, 'l1_ratio': 0.1}",0.5387315155674798,0.5004093916604571,0.49386754428242186,0.4366824514090151,0.4345377904960951,0.48084573868309377,0.03999472243318325,77,0.49360996028108145,0.5435014336328438,0.4938283174953098,0.5004410989432627,0.5681576310359614,0.5199076882776918,0.03044790296412552
93.87968721389771,3.296975439841062,0.0052226543426513675,0.0014203844396480213,0.001,0.2,"{'C': 0.001, 'l1_ratio': 0.2}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,67,0.5,0.5,0.5,0.5,0.5,0.5,0.0
58.86725239753723,1.5626455963629433,0.006988096237182617,0.0018301334919912495,0.001,0.3,"{'C': 0.001, 'l1_ratio': 0.3}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,67,0.5,0.5,0.5,0.5,0.5,0.5,0.0
42.139793920516965,1.3023744119338536,0.0038884162902832033,8.835696041282217e-05,0.001,0.4,"{'C': 0.001, 'l1_ratio': 0.4}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,67,0.5,0.5,0.5,0.5,0.5,0.5,0.0
31.638299703598022,0.8816635249281015,0.0049822330474853516,0.0012579635095385131,0.001,0.5,"{'C': 0.001, 'l1_ratio': 0.5}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,67,0.5,0.5,0.5,0.5,0.5,0.5,0.0
24.991971969604492,0.7732911945729871,0.004488325119018555,0.0004124903422507004,0.001,0.6,"{'C': 0.001, 'l1_ratio': 0.6}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,67,0.5,0.5,0.5,0.5,0.5,0.5,0.0
20.263782024383545,0.5892043419978241,0.0052073001861572266,0.0015644739253572878,0.001,0.7,"{'C': 0.001, 'l1_ratio': 0.7}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,67,0.5,0.5,0.5,0.5,0.5,0.5,0.0
16.446403360366823,0.6211606534610473,0.004952287673950196,0.000983397707228149,0.001,0.8,"{'C': 0.001, 'l1_ratio': 0.8}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,67,0.5,0.5,0.5,0.5,0.5,0.5,0.0
14.260947513580323,0.49884947316543493,0.004109907150268555,0.00026485333503585334,0.001,0.9,"{'C': 0.001, 'l1_ratio': 0.9}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,67,0.5,0.5,0.5,0.5,0.5,0.5,0.0
12.181347131729126,0.3124237764865554,0.004322338104248047,0.00044232940997054583,0.001,1.0,"{'C': 0.001, 'l1_ratio': 1.0}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,67,0.5,0.5,0.5,0.5,0.5,0.5,0.0
5.646920967102051,0.1448041929065144,0.00440683364868164,0.00020659140334661555,0.01,0.0,"{'C': 0.01, 'l1_ratio': 0.0}",0.5913661450301584,0.5247873005003865,0.5136030101232728,0.5997247667634243,0.5578685365576365,0.5574699517949757,0.034429767472174425,2,0.9999281113411548,1.0,1.0,1.0,1.0,0.999985622268231,2.8755463538088222e-05
11.962356519699096,0.5505083240028696,0.006168270111083984,0.002114430739641213,0.01,0.1,"{'C': 0.01, 'l1_ratio': 0.1}",0.5666416299043352,0.5254868188386841,0.5080710968351216,0.6111946019035518,0.518911449992985,0.5460611194949356,0.03813024039430404,43,0.9236476058539893,0.9173896960822945,0.9268756925020881,0.9183358958998323,0.9193200514727083,0.9211137883621825,0.0035895072717411097
10.367941427230836,0.7289447912537451,0.004536342620849609,0.00042964471142881524,0.01,0.2,"{'C': 0.01, 'l1_ratio': 0.2}",0.5755789395127405,0.4769770979377555,0.48348270298212226,0.6027581464755658,0.4874998084995557,0.5252593390815481,0.05299126648509832,59,0.7607504481291906,0.7471755712173151,0.7767948600771172,0.7461961430688709,0.7371098770658584,0.7536053799116704,0.013835785736643664
