mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.4940460681915283,0.0276653948820659,0.009071922302246094,0.0014178002953280442,0.001,0.0,"{'C': 0.001, 'l1_ratio': 0.0}",0.5446723659629329,0.6222174489659187,0.5494742857954522,0.6326851407500861,0.5703018792845704,0.583870224151792,0.03676155159371398,2,0.9054783685820355,0.9156037120661281,0.9094478341115166,0.9194245783424864,0.9125041010480275,0.9124917188300387,0.004820819683849294
0.11010470390319824,0.1097575639586186,0.008733224868774415,0.0021181713468692858,0.001,0.1,"{'C': 0.001, 'l1_ratio': 0.1}",0.4899723122674244,0.5,0.5,0.5,0.5,0.49799446245348483,0.004011075093030247,76,0.5999153877218187,0.5,0.5,0.5,0.5,0.5199830775443638,0.039966155088727494
0.04004988670349121,0.0007703742463764994,0.008462810516357422,0.0020276850404595103,0.001,0.2,"{'C': 0.001, 'l1_ratio': 0.2}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,67,0.5,0.5,0.5,0.5,0.5,0.5,0.0
0.03932576179504395,0.006863339328835942,0.008501100540161132,0.0010883414427456167,0.001,0.3,"{'C': 0.001, 'l1_ratio': 0.3}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,67,0.5,0.5,0.5,0.5,0.5,0.5,0.0
0.0429107666015625,0.005974924298633066,0.007477331161499024,0.00021211383731777243,0.001,0.4,"{'C': 0.001, 'l1_ratio': 0.4}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,67,0.5,0.5,0.5,0.5,0.5,0.5,0.0
0.040970134735107425,0.006767419567664812,0.007974529266357422,0.00032436518139971894,0.001,0.5,"{'C': 0.001, 'l1_ratio': 0.5}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,67,0.5,0.5,0.5,0.5,0.5,0.5,0.0
0.03503637313842774,0.006502978600852065,0.008002710342407227,0.0010923084314326192,0.001,0.6,"{'C': 0.001, 'l1_ratio': 0.6}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,67,0.5,0.5,0.5,0.5,0.5,0.5,0.0
0.03902730941772461,0.010620978864215022,0.008812570571899414,0.002232159603985368,0.001,0.7,"{'C': 0.001, 'l1_ratio': 0.7}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,67,0.5,0.5,0.5,0.5,0.5,0.5,0.0
0.03720645904541016,0.009631970979840103,0.00799264907836914,0.0004591678550437389,0.001,0.8,"{'C': 0.001, 'l1_ratio': 0.8}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,67,0.5,0.5,0.5,0.5,0.5,0.5,0.0
0.03841862678527832,0.01045249924966325,0.008857822418212891,0.00016195587182114303,0.001,0.9,"{'C': 0.001, 'l1_ratio': 0.9}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,67,0.5,0.5,0.5,0.5,0.5,0.5,0.0
0.037460947036743165,0.008307784242054951,0.008060312271118164,0.0009725401296709804,0.001,1.0,"{'C': 0.001, 'l1_ratio': 1.0}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,67,0.5,0.5,0.5,0.5,0.5,0.5,0.0
0.8448282241821289,0.03529935342366192,0.008640718460083009,0.001542835628081875,0.01,0.0,"{'C': 0.01, 'l1_ratio': 0.0}",0.5697375568434149,0.5929764522616696,0.5711110698994619,0.6351343389965323,0.5577212827949551,0.5853361401592068,0.027373285331020052,1,0.9916820645108927,0.9883969061194474,0.9877164934649567,0.9913632954144894,0.9919621695780725,0.9902241858175718,0.0017928212705417505
0.9118697166442871,0.06955862131999717,0.007865524291992188,0.0002606844191071871,0.01,0.1,"{'C': 0.01, 'l1_ratio': 0.1}",0.5374377670730178,0.5572920770990634,0.5387906662579883,0.609987884183524,0.5740054222846849,0.5635027633796558,0.026832132605953345,56,0.8832390899912452,0.8856400595583759,0.888537019584165,0.8913192762353526,0.8970515539376283,0.8891573998613534,0.004791123547777011
