mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.032990312576293944,0.00578496670663867,0.009077119827270507,0.0007470483654698491,0.001,0.0,"{'C': 0.001, 'l1_ratio': 0.0}",0.49956060506254835,0.6040241101076425,0.5520350882065712,0.6620110560316175,0.531221249735931,0.5697704218288621,0.05729162042904724,26,0.6897927879697789,0.6898899492848048,0.6755195202291656,0.6727834738288251,0.7079970432019848,0.6871965549029119,0.012575731849350522
0.025968265533447266,0.0027757738977008685,0.008594417572021484,0.00019099995549452334,0.001,0.1,"{'C': 0.001, 'l1_ratio': 0.1}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,62,0.5,0.5,0.5,0.5,0.5,0.5,0.0
0.025940084457397462,0.0007142761293243936,0.0088714599609375,0.0001835342195624883,0.001,0.2,"{'C': 0.001, 'l1_ratio': 0.2}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,62,0.5,0.5,0.5,0.5,0.5,0.5,0.0
0.02619199752807617,0.002427177298724182,0.00952305793762207,0.0013674390021486166,0.001,0.3,"{'C': 0.001, 'l1_ratio': 0.3}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,62,0.5,0.5,0.5,0.5,0.5,0.5,0.0
0.019388246536254882,0.0024718438729038577,0.007333898544311523,0.0012260511211302483,0.001,0.4,"{'C': 0.001, 'l1_ratio': 0.4}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,62,0.5,0.5,0.5,0.5,0.5,0.5,0.0
0.02121419906616211,0.002482587477266816,0.009141254425048827,0.00041288226218945216,0.001,0.5,"{'C': 0.001, 'l1_ratio': 0.5}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,62,0.5,0.5,0.5,0.5,0.5,0.5,0.0
0.022487878799438477,0.0016404113841008477,0.007982158660888672,0.0010533257229880405,0.001,0.6,"{'C': 0.001, 'l1_ratio': 0.6}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,62,0.5,0.5,0.5,0.5,0.5,0.5,0.0
0.023107528686523438,0.0016837998623587549,0.009143638610839843,0.0011163599934974,0.001,0.7,"{'C': 0.001, 'l1_ratio': 0.7}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,62,0.5,0.5,0.5,0.5,0.5,0.5,0.0
0.021161842346191406,0.0013968565198842408,0.008109521865844727,0.0006730552924003563,0.001,0.8,"{'C': 0.001, 'l1_ratio': 0.8}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,62,0.5,0.5,0.5,0.5,0.5,0.5,0.0
0.019623374938964842,0.0005970421599556927,0.008724212646484375,0.0003601397357400008,0.001,0.9,"{'C': 0.001, 'l1_ratio': 0.9}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,62,0.5,0.5,0.5,0.5,0.5,0.5,0.0
0.021435880661010744,0.0025647030364673046,0.007960987091064454,0.0002667048481632271,0.001,1.0,"{'C': 0.001, 'l1_ratio': 1.0}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,62,0.5,0.5,0.5,0.5,0.5,0.5,0.0
0.031000041961669923,0.0016129078487833993,0.008609676361083984,0.0005766529701297019,0.01,0.0,"{'C': 0.01, 'l1_ratio': 0.0}",0.5294090924866661,0.5964153335484432,0.57279537038256,0.6555769628690747,0.5321346564602977,0.5772662831494084,0.046575556198600626,12,0.7181754560715067,0.7190413691439345,0.7148737469318939,0.6981288678683761,0.7350372050053825,0.7170513290042188,0.011760247072825572
0.029488229751586915,0.0022107944610715905,0.00885462760925293,0.00033904416291629356,0.01,0.1,"{'C': 0.01, 'l1_ratio': 0.1}",0.5278932278431334,0.6320074028787421,0.5964100524110217,0.6578619906214097,0.5520109159284828,0.5932367179365581,0.048288715826708115,6,0.6711353433920999,0.6622311149551671,0.6623483382137755,0.6483234838923405,0.6863076081636128,0.6660691777233991,0.01247994489796351
0.030766916275024415,0.0007075113398419669,0.008664751052856445,0.0003569429705749183,0.01,0.2,"{'C': 0.01, 'l1_ratio': 0.2}",0.5358056126004601,0.609178106258141,0.5635002421464881,0.606974489351613,0.5701091441663724,0.5771135189046148,0.027786835051830983,13,0.6309854034487158,0.6174244259327644,0.6224517852577364,0.6137998143879042,0.6549841173424152,0.6279291092739071,0.014705786752985641
0.0319361686706543,0.002191345723212226,0.010737371444702149,0.0048313806290530064,0.01,0.3,"{'C': 0.01, 'l1_ratio': 0.3}",0.5167296779177398,0.5339833250240621,0.5178975423512999,0.5502889899658221,0.5543028234825504,0.5346404717482949,0.01570374643437954,60,0.576222687506052,0.5902109546001822,0.5782465982195505,0.5848568270685375,0.5735349149358487,0.5806143964660342,0.00608448486398998
0.024994325637817384,0.0052693567929259265,0.008420038223266601,0.0007294159072055388,0.01,0.4,"{'C': 0.01, 'l1_ratio': 0.4}",0.5147210785875204,0.5,0.5,0.5,0.5,0.502944215717504,0.005888431435008145,61,0.5738108437760793,0.5,0.5,0.5,0.5,0.5147621687552159,0.02952433751043171
0.020470809936523438,0.0011121538259494502,0.008451890945434571,0.0006140146268224305,0.01,0.5,"{'C': 0.01, 'l1_ratio': 0.5}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,62,0.5,0.5,0.5,0.5,0.5,0.5,0.0
