model,config_name,config,aggregation,preprocessing,num_groups,group_sizes,local_radius,aggregation_name,scale_factor,mode,mode_internal,classifier,best_params,test_roc_auc,cv_roc_auc,overfitting_gap,feature_dim,convergence_ok,cv_stability,strategy
point_m2ae_encoder,C1A2v4,C1,A2,v4,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean_std_min_max,1.75,Raw,raw_features,logistic,"{'C': 0.01, 'l1_ratio': 0.8}",0.5,0.5258152173913043,-0.03547547820118768,1536,False,0.05163043478260869,point_m2ae_lc_30_configurations
point_m2ae_encoder,C1A2v4,C1,A2,v4,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean_std_min_max,1.75,PCA 32D,pca_features,logistic,"{'C': 0.001, 'l1_ratio': 0.1}",0.5,0.5,0.0,32,False,0.0,point_m2ae_lc_30_configurations
point_m2ae_encoder,C1A2v5,C1,A2,v5,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean_std_min_max,2.0,Raw,raw_features,logistic,"{'C': 0.01, 'l1_ratio': 0.3}",0.5239385727190604,0.59953343923102,-0.004920199963400762,1536,False,0.02814390211168378,point_m2ae_lc_30_configurations
point_m2ae_encoder,C1A2v5,C1,A2,v5,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean_std_min_max,2.0,PCA 32D,pca_features,logistic,"{'C': 0.001, 'l1_ratio': 0.1}",0.5,0.5,0.0,32,False,0.0,point_m2ae_lc_30_configurations
point_m2ae_encoder,C1A3v1,C1,A3,v1,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",multi_level,1.0,Raw,raw_features,logistic,"{'C': 0.1, 'l1_ratio': 0.4}",0.5781391147244805,0.5294288519840764,0.09478156110729619,576,False,0.07187966814212544,point_m2ae_lc_30_configurations
point_m2ae_encoder,C1A3v1,C1,A3,v1,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",multi_level,1.0,PCA 32D,pca_features,logistic,"{'C': 0.001, 'l1_ratio': 0.1}",0.5,0.5,0.0,32,False,0.0,point_m2ae_lc_30_configurations
point_m2ae_encoder,C1A3v2,C1,A3,v2,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",multi_level,1.25,Raw,raw_features,logistic,"{'C': 0.1, 'l1_ratio': 0.4}",0.4959349593495935,0.5351616887670534,0.10586086991746402,576,False,0.0738166617021057,point_m2ae_lc_30_configurations
point_m2ae_encoder,C1A3v2,C1,A3,v2,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",multi_level,1.25,PCA 32D,pca_features,logistic,"{'C': 0.1, 'l1_ratio': 1.0}",0.5401987353206865,0.5630649234278267,0.034891733829592764,32,False,0.0835142988827334,point_m2ae_lc_30_configurations
point_m2ae_encoder,C1A3v3,C1,A3,v3,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",multi_level,1.5,Raw,raw_features,logistic,"{'C': 0.1, 'l1_ratio': 0.9}",0.5,0.504891304347826,-0.006572841753454073,576,False,0.00978260869565215,point_m2ae_lc_30_configurations
point_m2ae_encoder,C1A3v3,C1,A3,v3,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",multi_level,1.5,PCA 32D,pca_features,logistic,"{'C': 0.001, 'l1_ratio': 0.1}",0.5,0.5,0.0,32,False,0.0,point_m2ae_lc_30_configurations
point_m2ae_encoder,C1A3v4,C1,A3,v4,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",multi_level,1.75,Raw,raw_features,logistic,"{'C': 0.1, 'l1_ratio': 0.3}",0.41192411924119243,0.5402381015626107,0.1289424336616698,576,False,0.05238778423856173,point_m2ae_lc_30_configurations
point_m2ae_encoder,C1A3v4,C1,A3,v4,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",multi_level,1.75,PCA 32D,pca_features,logistic,"{'C': 0.1, 'l1_ratio': 0.6}",0.4444444444444444,0.5213853560145636,0.10325193820474121,32,False,0.057595469023248747,point_m2ae_lc_30_configurations
point_m2ae_encoder,C1A3v5,C1,A3,v5,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",multi_level,2.0,Raw,raw_features,logistic,"{'C': 0.1, 'l1_ratio': 0.4}",0.47244805781391147,0.5715182328190743,0.036158748354977344,576,False,0.06427719680364043,point_m2ae_lc_30_configurations
point_m2ae_encoder,C1A3v5,C1,A3,v5,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",multi_level,2.0,PCA 32D,pca_features,logistic,"{'C': 0.1, 'l1_ratio': 0.8}",0.4444444444444445,0.5512562245880969,0.044718733511797115,32,False,0.04602078306628351,point_m2ae_lc_30_configurations
point_m2ae_encoder,C2A1v1,C2,A1,v1,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",mean,1.0,Raw,raw_features,logistic,"{'C': 10.0, 'l1_ratio': 0.9}",0.5971093044263776,0.5221519100542593,0.47601486320467146,384,False,0.04683235632232657,point_m2ae_lc_30_configurations
point_m2ae_encoder,C2A1v1,C2,A1,v1,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",mean,1.0,PCA 32D,pca_features,logistic,"{'C': 0.1, 'l1_ratio': 0.5}",0.5212285456187895,0.5013197277827361,0.133612513214021,32,False,0.06139877666840232,point_m2ae_lc_30_configurations
point_m2ae_encoder,C2A1v2,C2,A1,v2,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",mean,1.25,Raw,raw_features,logistic,"{'C': 0.01, 'l1_ratio': 0.5}",0.5,0.5130681818181818,-0.021387366877604563,384,False,0.026136363636363624,point_m2ae_lc_30_configurations
point_m2ae_encoder,C2A1v2,C2,A1,v2,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",mean,1.25,PCA 32D,pca_features,logistic,"{'C': 0.1, 'l1_ratio': 0.5}",0.6124661246612466,0.5248002022327057,0.09775068245250695,32,False,0.07517439756484569,point_m2ae_lc_30_configurations
point_m2ae_encoder,C2A1v3,C2,A1,v3,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",mean,1.5,Raw,raw_features,logistic,"{'C': 0.001, 'l1_ratio': 0.1}",0.5,0.5,0.0,384,False,0.0,point_m2ae_lc_30_configurations
point_m2ae_encoder,C2A1v3,C2,A1,v3,"[512, 256, 64]","[24, 16, 16]","[0.32, 0.64, 1.28]",mean,1.5,PCA 32D,pca_features,logistic,"{'C': 0.001, 'l1_ratio': 0.1}",0.5,0.5,0.0,32,False,0.0,point_m2ae_lc_30_configurations
