model,config,pca_mode,classifier,best_params,test_roc_auc,cv_roc_auc,overfitting_gap,feature_dim,convergence_ok,cv_stability,strategy
dinov2_vitb14,axis_X,none,knn,"{'leaf_size': 1, 'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'uniform'}",0.4950063302879344,0.5287080767441568,0.17614319397837597,23040,True,0.02254066196611753,concatenation
dinov2_vits14,multi_axes,none,logistic,"{'C': 0.1, 'l1_ratio': 0.4}",0.5579441619689769,0.5957543919974813,0.40424560800251874,34560,True,0.05720369083720815,concatenation
dinov2_vits14,multi_axes,none,knn,"{'leaf_size': 1, 'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'distance'}",0.610280855706915,0.5477709831030692,0.45222901689693085,34560,True,0.030330546906568025,concatenation
dinov2_vits14,axis_Z,none,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.5901337356702991,0.5418749251726338,0.44257122001939075,8448,True,0.03522957198889909,concatenation
dinov2_vits14,axis_Z,none,knn,"{'leaf_size': 1, 'metric': 'minkowski', 'n_neighbors': 1, 'weights': 'uniform'}",0.5069210327548727,0.5107359587311124,0.48926404126888756,8448,True,0.025735817963613006,concatenation
dinov2_vits14,axis_Y,none,logistic,"{'C': 0.1, 'l1_ratio': 0.9}",0.5067261850311718,0.6102561831440311,0.3365747206537123,14592,True,0.03788659348912156,concatenation
dinov2_vits14,axis_Y,none,knn,"{'leaf_size': 1, 'metric': 'cosine', 'n_neighbors': 13, 'weights': 'uniform'}",0.5383361814467613,0.5496530879297025,0.16735711601639436,14592,True,0.0583919111557513,concatenation
dinov2_vits14,axis_X,none,logistic,"{'C': 0.01, 'l1_ratio': 0.0}",0.5984933982211669,0.5970938155960059,0.40290618440399406,11520,True,0.04643679245483864,concatenation
dinov2_vits14,axis_X,none,knn,"{'leaf_size': 1, 'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'uniform'}",0.5137302432602919,0.5402009979409399,0.15607054687532695,11520,True,0.05810033199615811,concatenation
dinov2_vitl14,multi_axes,32,logistic,"{'C': 0.01, 'l1_ratio': 0.5}",0.5228307051362681,0.5454787014806508,0.1579376098403189,32,True,0.039782013800333124,concatenation
dinov2_vitl14,multi_axes,32,knn,"{'leaf_size': 1, 'metric': 'manhattan', 'n_neighbors': 13, 'weights': 'uniform'}",0.46831790146984653,0.5533396694518695,0.15552401281119854,32,True,0.011245990283191714,concatenation
dinov2_vitl14,axis_Z,32,logistic,"{'C': 0.1, 'l1_ratio': 1.0}",0.5579177573152464,0.5768698192892465,0.16445435262656072,32,True,0.02892235235810577,concatenation
dinov2_vitl14,axis_Z,32,knn,"{'leaf_size': 1, 'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'uniform'}",0.5840869230639738,0.5331151648489171,0.15543173924731712,32,True,0.04718672792735285,concatenation
