model,config_name,config,aggregation,preprocessing,num_groups,group_sizes,local_radius,aggregation_name,scale_factor,mode,mode_internal,classifier,best_params,test_roc_auc,cv_roc_auc,overfitting_gap,feature_dim,convergence_ok,cv_stability,strategy
point_m2ae_encoder,C1A2v3,C1,A2,v3,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean_std_min_max,1.5,PCA 32D,pca_features,logistic,"{'C': 0.1, 'l1_ratio': 1.0}",0.5897061116976607,0.5573114038156005,0.14446910000883906,32,False,0.022454633256580144,point_m2ae_ofc_30_configurations
point_m2ae_encoder,C1A2v4,C1,A2,v4,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean_std_min_max,1.75,Raw,raw_features,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.5385645059675589,0.5843463351030531,0.37699517130070526,1536,False,0.02369581444933106,point_m2ae_ofc_30_configurations
point_m2ae_encoder,C1A2v4,C1,A2,v4,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean_std_min_max,1.75,PCA 32D,pca_features,logistic,"{'C': 0.01, 'l1_ratio': 0.0}",0.49806327492824826,0.5901107268144687,0.1559835592340757,32,False,0.01899705017726218,point_m2ae_ofc_30_configurations
point_m2ae_encoder,C1A2v5,C1,A2,v5,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean_std_min_max,2.0,Raw,raw_features,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.6016061854980823,0.5830031774259508,0.38391430620895406,1536,False,0.024665351406934766,point_m2ae_ofc_30_configurations
point_m2ae_encoder,C1A2v5,C1,A2,v5,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",mean_std_min_max,2.0,PCA 32D,pca_features,logistic,"{'C': 0.01, 'l1_ratio': 0.2}",0.6267221269608647,0.5665704389950877,0.11763237310001384,32,False,0.02499966889532336,point_m2ae_ofc_30_configurations
point_m2ae_encoder,C1A3v1,C1,A3,v1,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",multi_level,1.0,Raw,raw_features,logistic,"{'C': 1.0, 'l1_ratio': 0.8}",0.6306582149540902,0.6103319750444415,0.3599568741625039,576,False,0.024638975023397635,point_m2ae_ofc_30_configurations
point_m2ae_encoder,C1A3v1,C1,A3,v1,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",multi_level,1.0,PCA 32D,pca_features,logistic,"{'C': 0.1, 'l1_ratio': 0.0}",0.5922592954068726,0.5689556274198118,0.15883048487906926,32,False,0.03642323896195625,point_m2ae_ofc_30_configurations
point_m2ae_encoder,C1A3v2,C1,A3,v2,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",multi_level,1.25,Raw,raw_features,logistic,"{'C': 0.1, 'l1_ratio': 0.0}",0.5822813458039688,0.6011179860727672,0.33297851492639363,576,False,0.02595256683195062,point_m2ae_ofc_30_configurations
point_m2ae_encoder,C1A3v2,C1,A3,v2,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",multi_level,1.25,PCA 32D,pca_features,logistic,"{'C': 1.0, 'l1_ratio': 1.0}",0.5491299824416299,0.5921866840585822,0.14608936183263277,32,False,0.022708935862383282,point_m2ae_ofc_30_configurations
point_m2ae_encoder,C1A3v3,C1,A3,v3,"[512, 256, 64]","[16, 8, 8]","[0.32, 0.64, 1.28]",multi_level,1.5,Raw,raw_features,logistic,"{'C': 0.1, 'l1_ratio': 0.0}",0.6166984372161216,0.5859260441598104,0.3319089339074023,576,False,0.038132755373130975,point_m2ae_ofc_30_configurations
