model,config_name,config,aggregation,mode,feature_approach,classifier,best_params,test_roc_auc,cv_roc_auc,overfitting_gap,feature_dim,convergence_ok,cv_stability,test_vs_cv_gap,fold_variance,problematic_folds_count,strategy
point_m2ae_encoder,C5A3,C5,A3,raw_features,C5A3,logistic,"{'C': 0.1, 'l1_ratio': 0.2}",0.5092898781935715,0.5638024398110059,0.32474477958777703,576,False,0.048623194581098754,0.0,0.0,0,point_m2ae_configurations
point_m2ae_encoder,C5A4,C5,A4,raw_features,C5A4,logistic,"{'C': 0.1, 'l1_ratio': 0.2}",0.5039802797078856,0.5629556773627806,0.3186406947673548,384,False,0.04419857730985708,0.0,0.0,0,point_m2ae_configurations
point_m2ae_encoder,C5A5,C5,A5,raw_features,C5A5,logistic,"{'C': 0.1, 'l1_ratio': 0.3}",0.5264019439828279,0.5628827027374317,0.30810427581110056,384,False,0.047018830836480015,0.0,0.0,0,point_m2ae_configurations
point_m2ae_encoder,C6A1,C6,A1,raw_features,C6A1,logistic,"{'C': 1.0, 'l1_ratio': 1.0}",0.6057831353093487,0.5564619500081489,0.369624805597494,384,False,0.05401796208469074,0.0,0.0,0,point_m2ae_configurations
point_m2ae_encoder,C6A2,C6,A2,raw_features,C6A2,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.5726111044144944,0.5825947394860673,0.3481773546959165,1536,False,0.04239165441203396,0.0,0.0,0,point_m2ae_configurations
point_m2ae_encoder,C6A3,C6,A3,raw_features,C6A3,logistic,"{'C': 1.0, 'l1_ratio': 1.0}",0.5882410573963047,0.5611047069923621,0.38478623141855517,576,False,0.042622157137372114,0.0,0.0,0,point_m2ae_configurations
point_m2ae_encoder,C6A4,C6,A4,raw_features,C6A4,logistic,"{'C': 1.0, 'l1_ratio': 1.0}",0.6081992653467397,0.5540618435342735,0.3708866204660508,384,False,0.05223013885087518,0.0,0.0,0,point_m2ae_configurations
point_m2ae_encoder,C6A5,C6,A5,raw_features,C6A5,logistic,"{'C': 0.01, 'l1_ratio': 0.4}",0.5623836535639554,0.5563003062477905,0.00043906619061406804,384,False,0.03983770861706277,0.0,0.0,0,point_m2ae_configurations
point_m2ae_encoder,C7A1,C7,A1,raw_features,C7A1,logistic,"{'C': 0.01, 'l1_ratio': 0.0}",0.5881370447782905,0.5481033395102773,0.18113975524651627,384,False,0.04709454257757482,0.0,0.0,0,point_m2ae_configurations
point_m2ae_encoder,C7A2,C7,A2,raw_features,C7A2,logistic,"{'C': 0.1, 'l1_ratio': 1.0}",0.5538060320211563,0.580076846637338,0.3563919154532048,1536,False,0.023763346644174108,0.0,0.0,0,point_m2ae_configurations
point_m2ae_encoder,C7A3,C7,A3,raw_features,C7A3,logistic,"{'C': 0.01, 'l1_ratio': 0.0}",0.5921036606089018,0.5556246737584017,0.1862198361680808,576,False,0.04976046248013583,0.0,0.0,0,point_m2ae_configurations
point_m2ae_encoder,C7A4,C7,A4,raw_features,C7A4,logistic,"{'C': 0.01, 'l1_ratio': 0.0}",0.5842875019534004,0.547950642402418,0.18199868593941793,384,False,0.048402899634498446,0.0,0.0,0,point_m2ae_configurations
point_m2ae_encoder,C7A5,C7,A5,raw_features,C7A5,logistic,"{'C': 0.1, 'l1_ratio': 1.0}",0.55509611405127,0.5639344450277946,0.07197078967224757,384,False,0.04853547448723033,0.0,0.0,0,point_m2ae_configurations
point_m2ae_encoder,C8A1,C8,A1,raw_features,C8A1,logistic,"{'C': 0.1, 'l1_ratio': 0.0}",0.5241559980034025,0.5608728345180658,0.355544286712841,384,False,0.04183071492705243,0.0,0.0,0,point_m2ae_configurations
point_m2ae_encoder,C8A2,C8,A2,raw_features,C8A2,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.5506607079218487,0.5812575990309741,0.36912321930630565,1536,False,0.039740951214446193,0.0,0.0,0,point_m2ae_configurations
point_m2ae_encoder,C8A3,C8,A3,raw_features,C8A3,logistic,"{'C': 0.01, 'l1_ratio': 0.0}",0.5311501244617826,0.5552683181309406,0.24125218769785528,576,False,0.055397055616686765,0.0,0.0,0,point_m2ae_configurations
point_m2ae_encoder,C8A4,C8,A4,raw_features,C8A4,logistic,"{'C': 0.1, 'l1_ratio': 0.0}",0.5271905639006517,0.560083755603441,0.3566976936986126,384,False,0.038970478161458225,0.0,0.0,0,point_m2ae_configurations
point_m2ae_encoder,C8A5,C8,A5,raw_features,C8A5,logistic,"{'C': 0.01, 'l1_ratio': 0.4}",0.4977765359921177,0.5504953078317619,0.004710823734834668,384,False,0.03725104006587532,0.0,0.0,0,point_m2ae_configurations
point_m2ae_encoder,C9A1,C9,A1,raw_features,C9A1,logistic,"{'C': 0.01, 'l1_ratio': 0.0}",0.5238747817908777,0.5454489884196125,0.21132981306702003,384,False,0.045045631119015266,0.0,0.0,0,point_m2ae_configurations
point_m2ae_encoder,C9A2,C9,A2,raw_features,C9A2,logistic,"{'C': 0.01, 'l1_ratio': 0.0}",0.5198491192705019,0.5466154457844759,0.45324283310065516,1536,False,0.05204126235398214,0.0,0.0,0,point_m2ae_configurations
point_m2ae_encoder,C9A3,C9,A3,raw_features,C9A3,logistic,"{'C': 1.0, 'l1_ratio': 1.0}",0.5564874929963447,0.5511568828899887,0.3870156930459888,576,False,0.04387322802890714,0.0,0.0,0,point_m2ae_configurations
point_m2ae_encoder,C9A4,C9,A4,raw_features,C9A4,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.5132865017488492,0.546726929167796,0.12793624111280488,384,False,0.037710029110918926,0.0,0.0,0,point_m2ae_configurations
point_m2ae_encoder,C9A5,C9,A5,raw_features,C9A5,logistic,"{'C': 0.001, 'l1_ratio': 0.0}",0.5315669531177543,0.527058588510912,0.15025504932185374,384,False,0.05493443727310542,0.0,0.0,0,point_m2ae_configurations
